trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
43,PLR121,anticipated_b,post,1002,4810,14,0,NaN,3140.7171,-23.4041,-50.7964,-469.9251,-198.7886,-168.7489
44,PLR121,unexpected_w,post,1003,4812,12,0,NaN,2495.7052,-30.4762,6.5974,86.3825,140.0448,229.7234
45,PLR121,anticipated_b,post,1002,4810,15,0,NaN,2121.3825,197.8887,312.2303,527.4852,445.378,379.2048
46,PLR121,anticipated_b,post,1003,4808,16,0,NaN,2165.6813,81.6465,438.8771,416.8208,605.4469,631.8267
47,PLR121,anticipated_b,post,1002,4810,17,0,NaN,2206.7809,137.0886,148.3605,112.7023,236.1645,256.5207
48,PLR121,unexpected_w,post,1003,4810,13,0,NaN,2256.5896,102.8767,348.4251,389.2339,50.1036,157.204
49,PLR121,anticipated_b,post,1003,4812,18,0,NaN,2348.2311,-26.8233,103.8654,-67.9916,-263.3508,-182.62
50,PLR121,anticipated_w,post,1003,4812,19,0,NaN,1719.1116,9.2929,147.92,140.2498,195.9011,197.4519
51,PLR121,unexpected_w,post,1003,4810,14,0,NaN,2534.6335,105.8246,183.4638,60.0535,111.6754,132.9062
52,PLR121,unexpected_b,post,1003,4810,15,0,NaN,2025.9243,272.3953,593.528,669.1639,541.477,596.9487
53,PLR121,anticipated_w,post,1003,4812,20,0,NaN,2742.761,187.6441,198.525,219.5353,482.8798,423.8422
54,PLR121,anticipated_b,post,1003,4812,19,0,NaN,2710.2988,140.6466,233.4102,302.4281,357.0899,268.7806
55,PLR121,unexpected_w,post,1003,4810,16,0,NaN,2546.5697,-203.9626,139.6577,131.9556,-144.1748,-221.1332
56,PLR121,unexpected_b,post,1003,4812,17,0,NaN,1518.6653,146.7485,424.6921,584.6792,625.5994,700.3347
57,PLR121,unexpected_b,post,1002,4808,18,0,NaN,2581.749,-88.8953,-86.0505,-77.4276,-56.0516,-121.4077
58,PLR121,anticipated_b,post,1003,4812,20,0,NaN,2084.1992,-104.9597,289.0588,453.6463,612.7861,652.3802
59,PLR121,unexpected_b,post,1003,4810,19,0,NaN,2616.5418,72.0295,53.3304,139.6199,-114.5754,-236.6212
60,PLR121,unexpected_w,post,1002,4810,20,0,NaN,2678.3412,-59.7465,157.9445,246.9834,87.037,125.5398
1,PLR122,unexpected_b,pre,1001,4838,1,1,6428,1631.2151,70.6105,222.7987,-23.5681,-85.4672,91.8245
2,PLR122,unexpected_b,pre,1003,4812,2,1,6333,1477.3347,-9.9401,-117.5271,-67.0531,112.2872,102.213
