trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
1,PLR125,anticipated_w,pre,1000,4836,1,1,2957.992,427.8946,711.737,695.9702,953.0437
2,PLR125,anticipated_w,pre,1003,4810,2,1,3582.239,-734.2348,-353.1592,-184.9596,-62.2246
3,PLR125,anticipated_b,pre,1003,4810,1,1,2848.148,-33.085,206.4182,-34.1396,443.81
4,PLR125,anticipated_w,pre,1003,4810,3,1,2474.906,232.4511,391.0226,671.7432,879.0394
5,PLR125,anticipated_w,pre,1002,4812,4,1,2628.835,-582.0618,43.5497,308.7092,51.8373
6,PLR125,unexpected_w,pre,1002,4810,1,0,2431.546,-115.2959,-166.0225,217.704,643.8889
7,PLR125,unexpected_b,pre,1003,4812,2,0,2731.932,-22.5812,-146.5097,-64.6673,347.1163
8,PLR125,unexpected_b,pre,1002,4810,3,0,2877.966,-307.5984,-147.0059,34.5571,197.9878
9,PLR125,anticipated_b,pre,1003,4812,2,1,2926.962,-291.8023,-434.8475,-242.4053,189.7985
10,PLR125,anticipated_w,pre,1002,4808,5,1,2787.738,-362.133,-893.3654,-656.4313,-26.093
11,PLR125,unexpected_w,pre,1003,4812,4,0,2241.782,-497.7841,-260.9038,-32.1854,160.9911
12,PLR125,anticipated_b,pre,1002,4810,3,0,1593.5864,331.6825,555.5922,521.8275,544.214
13,PLR125,anticipated_b,pre,1002,4810,4,1,1678.146,-268.0798,97.1607,605.0347,760.4864
14,PLR125,anticipated_b,pre,1002,4810,5,0,1917.576,36.6005,-417.1466,-458.6432,-36.1894
15,PLR125,anticipated_b,pre,1003,4808,6,0,1833.9691,-481.6204,-613.4292,-355.6813,52.3964
16,PLR125,anticipated_b,pre,1002,4810,7,0,1646.552,-310.2579,-481.0184,-344.344,330.4312
17,PLR125,anticipated_b,pre,1003,4810,8,0,1981.96,-622.745,-596.4285,-179.8865,183.3215
18,PLR125,unexpected_b,pre,1003,4812,5,0,1706.852,-444.0558,-329.7609,-58.091,262.9862
19,PLR125,anticipated_w,pre,1002,4810,6,1,1670.216,-331.1992,-362.2879,-230.3252,260.742
20,PLR125,unexpected_w,pre,1002,4810,6,0,1622.274,-161.8797,-318.0408,-198.1416,-182.3895
21,PLR125,anticipated_w,pre,1003,4808,7,0,1297.998,-122.332,100.6723,395.2877,645.9222
22,PLR125,unexpected_b,pre,1003,4810,7,0,1424.35,-10.0323,-71.4697,155.8181,474.4924
23,PLR125,anticipated_w,pre,1002,4810,8,1,1750.7635,-341.1409,-225.6331,-264.2215,-7.1081
24,PLR125,anticipated_b,pre,1003,4810,9,0,2328.68,-250.1052,-858.7799,-763.0918,-506.4447
25,PLR125,anticipated_w,pre,1002,4810,9,0,2287.7224,-363.1687,-537.0512,-874.3737,-620.1447
26,PLR125,anticipated_w,pre,1002,4808,10,0,1939.412,-81.3343,16.9548,-125.8553,123.422
27,PLR125,anticipated_w,post,1003,4812,11,1,1768.664,258.0285,251.6888,290.7247,547.0272
28,PLR125,anticipated_w,post,1002,4810,12,0,2048.212,747.6914,745.6893,565.8216,739.6031
29,PLR125,anticipated_b,pre,1003,4810,10,0,2309.1338,-328.949,341.4187,444.9427,149.9754
30,PLR125,anticipated_w,post,1002,4812,13,1,2354.022,-97.085,-164.5945,-298.8392,237.6944
31,PLR125,anticipated_b,post,1002,4810,11,0,2783.456,27.5128,-818.8805,-671.2039,-77.8594
32,PLR125,anticipated_w,post,1003,4812,14,0,1738.2552,262.3439,-86.1392,300.2301,185.7536
33,PLR125,anticipated_b,post,1002,4810,12,1,2509.196,-162.9544,-79.2262,62.825,66.7536
34,PLR125,anticipated_b,post,1002,4810,13,1,1636.252,471.9621,458.2501,460.9602,817.5211
35,PLR125,anticipated_b,post,1002,4808,14,0,2713.318,193.4993,-577.4577,-472.2823,-454.2824
36,PLR125,unexpected_w,pre,1003,4812,8,0,1834.57,-76.6813,-106.7003,377.8124,815.035
37,PLR125,anticipated_w,post,1002,4810,15,0,2270.28,-281.3598,-380.8661,-241.4061,-153.2128
38,PLR125,unexpected_w,pre,1003,4810,9,0,2004.656,211.115,-36.7295,-308.3524,2.6591
39,PLR125,unexpected_b,pre,1003,4810,10,0,1773.516,10.7598,-208.9173,-51.3521,140.463
40,PLR125,unexpected_w,post,1002,4808,11,0,2103.776,45.3543,249.2639,291.7513,123.9257
41,PLR125,anticipated_b,post,1002,4812,15,0,1715.4568,313.3518,499.0916,124.6318,338.0432
42,PLR125,unexpected_b,post,1002,4808,12,0,1545.438,195.0641,175.0304,-22.4086,410.8099
43,PLR125,unexpected_w,post,1002,4810,13,0,2002.9197,430.7063,339.6538,178.5889,-44.9134
44,PLR125,anticipated_b,post,1002,4810,16,1,2933.624,-127.6173,101.1848,289.2415,661.105
45,PLR125,unexpected_b,post,1003,4812,14,0,3107.364,-5.1842,-344.116,238.5519,569.2536
46,PLR125,anticipated_b,post,1003,4808,17,0,3724.158,-284.3403,-126.9479,-10.1748,251.9239
47,PLR125,anticipated_b,post,1002,4810,18,1,2235.134,235.8723,153.5089,91.2231,913.5572
48,PLR125,unexpected_w,post,1003,4810,15,0,3034.64,-613.3139,-659.0497,113.4903,454.5449
49,PLR125,anticipated_b,post,1003,4810,19,0,1707.1512,33.687,536.1504,1131.1996,1755.2963
50,PLR125,anticipated_w,post,1002,4810,16,1,1895.5929,-155.3807,560.4932,831.676,608.4407
51,PLR125,unexpected_b,post,1003,4810,16,0,2385.194,321.6673,263.9321,-90.7024,230.1127
52,PLR125,unexpected_b,post,1003,4810,17,0,1812.8124,67.2349,-201.7555,-183.949,219.9334
53,PLR125,anticipated_w,post,1003,4812,17,1,2032.018,314.8223,505.2677,-58.5789,204.3875
