trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window380,window760,window1140,window1520,window1900,window2280,window2660,window3040,window3420,window3800,window4180,window4560,window4940,window5320,window5700,window6080,window6460,window6840,window7220
60,PLR138,unexpected_b,0,post,4th,1002,4808,20,0,2538.2778,28.2852,-23.0885,-12.1841,2.9143,-80.1259,-120.5781,-132.3732,-183.651,-319.2747,-308.0367,-265.9744,-45.4398,416.4504,855.977,870.9155,-496.8793,-687.4972,-587.0472,-575.7837,-539.4891
1,PLR139,anticipated_b,0,pre,1st,1001,4838,1,1,4116.387,-147.0976,174.7436,470.1631,646.6536,793.8708,830.8629,935.2551,1013.9743,1122.7232,1257.122,1257.5977,1230.2408,1429.9103,1695.1046,1759.7517,496.1331,-299.6529,-42.7266,17.1071,205.2414
2,PLR139,anticipated_w,1,pre,1st,1002,4810,1,1,4294.9772,-103.5482,79.8897,366.0432,627.8474,795.248,815.648,663.5851,816.3213,873.3961,869.8786,591.658,-1327.8348,-1658.2257,-1420.5226,-1370.7286,-834.2923,-104.2699,236.5434,397.486,436.8174
3,PLR139,anticipated_b,0,pre,1st,1002,4810,2,0,4770.3716,-54.9208,52.406,20.3371,-199.2737,-500.3308,-538.6295,-434.2011,-133.9709,32.278,143.8105,122.6526,6.3567,325.422,760.9614,545.3196,-980.324,-1691.4916,-1405.5554,-1426.6806,-1462.698
4,PLR139,anticipated_w,1,pre,1st,1003,4812,2,1,3762.5559,-20.3795,-9.5873,459.7251,667.4123,549.1325,623.9687,754.0952,876.7798,1058.8302,1208.8699,1043.1084,-678.0654,-874.149,-637.3923,-718.2833,-182.3423,427.1103,815.6641,1009.9137,948.0209
5,PLR139,anticipated_w,1,pre,1st,1003,4810,3,1,4159.1662,-80.4356,57.797,334.8392,565.4679,646.0175,484.5074,674.28,705.4609,490.4295,832.976,841.8367,-843.456,-1102.7975,-1115.4337,-1288.5059,-755.9867,-63.5236,297.6192,511.1962,499.495
6,PLR139,anticipated_w,1,pre,1st,1002,4810,4,1,4574.7689,-7.3159,8.4059,6.0296,179.3301,95.2424,125.4918,393.606,389.1279,233.2844,542.1653,462.9505,-1256.6961,-1441.0585,-1334.2837,-1260.632,-797.1579,-193.0489,129.9958,323.5666,-78.5601
7,PLR139,unexpected_w,1,pre,1st,1003,4812,1,0,4722.8763,-43.7912,38.0364,129.7988,190.5628,160.1236,144.4975,148.8024,142.4158,41.2268,-170.7572,-828.1205,-2171.1845,-2395.7056,-2057.3198,-1729.6994,-1245.2185,-788.7585,-531.4427,-406.2616,-389.9921
8,PLR139,anticipated_b,0,pre,1st,1002,4810,3,1,3842.312,-1.0095,-0.98747,31.4324,72.9214,247.4941,542.1463,653.1787,787.0852,972.6269,1127.7953,1329.9113,1509.9551,1869.2885,2245.6232,1987.5102,506.9551,20.9696,436.347,481.5272,799.9553
9,PLR139,unexpected_b,0,pre,1st,1002,4810,2,0,4537.3659,-30.2358,14.6775,307.0819,545.4662,499.475,319.8994,-103.6369,-143.8036,-46.856,-59.6158,120.5027,421.0731,655.1608,856.0518,458.9668,-870.7778,-1374.1782,-1271.7902,-834.3686,-571.8236
10,PLR139,anticipated_w,1,pre,1st,1002,4808,5,0,4094.6435,133.4776,-153.8216,291.5955,355.9159,189.3074,521.4345,637.068,661.7171,793.1381,758.5218,402.3577,-1303.4262,-1804.3423,-1679.7908,-1554.7461,-838.2233,-247.4678,-148.5122,-648.0514,-300.8075
11,PLR139,anticipated_w,1,pre,2nd,1002,4810,6,1,4484.3894,-62.2577,59.5933,182.6978,376.4514,368.936,542.3468,580.3443,573.6113,797.1146,1023.3596,958.2357,-795.6659,-1401.6573,-1492.2483,-1838.2903,-1548.0564,-697.3933,-216.7534,36.9103,132.6788
12,PLR139,anticipated_w,1,pre,2nd,1003,4812,7,0,4464.1789,-113.9864,110.2732,230.2752,415.717,484.0405,627.8308,774.1673,889.6991,908.0566,766.8805,679.4568,-1046.2699,-1266.7889,-1283.7186,-1640.9419,-1316.5881,-511.9777,-47.1088,138.6054,205.2864
13,PLR139,anticipated_b,0,pre,1st,1002,4810,4,0,3847.9167,184.2543,-160.058,510.6532,662.3027,713.1577,1018.1397,1240.2584,1319.6196,1577.3594,1725.8208,1776.945,1847.5237,2051.1789,2396.9876,2351.1666,744.902,128.1984,564.4471,671.6502,855.764
14,PLR139,unexpected_b,0,pre,1st,1003,4810,3,0,4691.6426,13.5497,-9.6109,12.1939,-52.9524,-35.6735,-30.1052,32.0658,142.7993,255.5077,330.7458,528.7764,699.201,838.0958,1169.309,1092.1423,-952.3807,-1443.0564,-1226.3562,-918.74,-906.5961
15,PLR139,anticipated_w,1,pre,2nd,1002,4808,8,1,4517.3302,-82.8029,73.1007,328.1427,484.896,531.4818,638.3914,704.2672,785.6395,936.9597,897.996,784.232,-1109.4664,-1562.4569,-1704.828,-1999.9042,-1342.3698,-565.007,-169.1599,145.1284,350.5468
16,PLR139,anticipated_w,1,pre,2nd,1003,4810,9,0,4663.8979,-141.939,129.3264,363.5961,427.1856,268.7909,258.5286,479.7363,614.2606,496.9459,600.2929,470.6286,-1613.959,-2076.9632,-1954.7859,-1914.3101,-1510.1655,-726.5414,-364.0281,-361.2776,-274.6684
17,PLR139,unexpected_w,1,pre,1st,1002,4810,4,0,4553.8741,-125.1825,113.7485,315.8362,365.6583,425.6938,366.0605,234.3718,104.0525,-31.3701,-71.1476,-684.2004,-2243.7934,-2460.9442,-2003.2296,-1846.759,-1671.3899,-985.295,-580.1416,-342.2825,-266.0522
18,PLR139,anticipated_w,1,pre,2nd,1003,4812,10,0,4001.074,-63.296,57.9124,92.2944,163.2685,299.9814,284.5337,322.8945,464.0191,654.9429,745.695,540.4255,-1269.536,-1520.8172,-840.9235,-553.3725,-291.4439,228.9636,536.8143,668.9236,790.54
