trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
41,PLR132,anticipated_b,0,post,3rd,1002,4810,13,0,3588.0287,3630.8586,3592.1937,3786.5079,4010.0464,4176.9672,4192.0628,4165.6492,4300.1832,4076.0785,4042.9581,4269.7906,4413.0681,4650.5026,4964.9005,4853.6073,3234.0628,3021.2827,3488.7539,3763.9267,3842.5236
42,PLR132,anticipated_b,0,post,3rd,1002,4810,14,0,4002.9561,3103.9727,2791.1152,3119.3246,3782.5445,4003.4136,3896.8429,4035.2932,3758.0314,3919.356,3891.9948,3949.8429,4093.0576,4308.1832,4655.4031,4579.6649,2863.8482,2409.1361,2694.8063,3178.8743,3520.5236
43,PLR132,unexpected_b,0,post,3rd,1002,4808,15,0,2334.332,2916.8168,2993.5445,3152.6227,3436.555,3173.1466,2886.555,2796.4817,3221.6649,3574.2723,3694.6126,3628.8586,3678.9424,3908.7906,4318.5969,4358.3874,2697.7173,2100.3089,2034.7696,2657.1047,3185.7801
44,PLR132,unexpected_b,0,post,4th,1002,4812,16,0,3507.8267,2506.0838,3063.3246,3535.4974,3901.2356,3856.0628,3797.6545,3818.555,3808.6649,3346.1414,3677.5916,4012.4817,4046.0942,4206.5969,4552.2565,4517.3246,2807.2775,2466.1571,2984.4162,2902.3928,2746.8325
45,PLR132,anticipated_b,0,post,3rd,1003,4812,15,1,3839.96,3932.9948,3810.9982,3981.4625,4101.1599,4180.1958,4304.7111,4172.6492,4094.3927,4133.7016,4319.178,4384.3246,4420.267,4709.8953,5038.1937,5061.1623,3661.0733,2758.1571,2533.7696,3316.3218,3770.2445
46,PLR132,anticipated_w,1,post,3rd,1002,4812,15,1,4478.906,4549.9372,4481.9957,4541.324,4636.8534,4646.2618,4712.0576,4833.5131,4772.2984,4584.7487,3921.5079,3086.0209,1654.6806,1304.3874,1496.2723,1336.4607,1652.9424,2299.4136,2885.8586,3283.6597,3412.6178
47,PLR132,unexpected_w,1,post,4th,1002,4808,17,0,4061.1576,3468.5236,3640.4188,4025.8115,4171.3089,4105.8953,4113.4869,4319.5916,4395.2251,4386.3298,4471.1257,4127.9581,1854.8272,1324.4398,1262.9005,1207.0209,1475.2836,2111.3025,2517.2513,2740.1777,2777.3905
48,PLR132,anticipated_b,0,post,4th,1003,4808,16,1,2790.944,3133.3089,2746.1097,3152.0123,3508.5286,3696.6126,3859.4764,3928.6387,3967.3717,3982.4188,4084.8848,4128.3298,4241.8325,4561.3874,5026.8953,5003.9843,3573.8848,3476.5236,3866.5218,4147.9631,4138.0529
49,PLR132,anticipated_b,0,post,4th,1003,4812,17,1,4161.517,3941.0105,3978.4607,4286.5759,4548.0105,4611.0105,4714.4764,4650.9948,4605.5236,3873.3979,2926.2304,2422.0209,2782.377,3702.4817,4453.9372,4608.5026,3473.8325,3574.5131,4012.8272,4112.9977,4207.6935
50,PLR132,anticipated_w,1,post,4th,1003,4812,16,0,4053.438,4180.6963,4383.5654,4542.3874,4679.2984,4667.6806,4643.4764,4653.0576,4708.6597,4765.7853,4764.5288,4423.0681,2145.2723,1453.5183,1241.8953,1163.4869,1481.5393,2179.9791,2799.0576,3110.0105,3073.9424
