trialNumber,subid,condition,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
55,PLR120,unexpected_b,post,4th,1003,4812,19,0,2024.528,73.2835,172.8647,178.7914,133.489,128.8175,-3.1353,-119.11,-234.0515,-226.1929,-231.6903,-169.9992,12.7338,231.5187,440.7859,481.8887,304.0765,165.4348,-49.8818,-117.4156,-35.5184
56,PLR120,anticipated_w,post,4th,1003,4812,19,0,2061.6904,60.807,129.8175,147.9925,146.3961,158.8109,262.7127,285.3462,253.7348,217.5726,284.1316,219.1525,-652.4138,-914.6832,-915.4868,-829.3124,-713.3605,-469.2224,-340.4914,-268.7862,-177.5754
57,PLR120,unexpected_b,post,4th,1003,4812,20,0,2199.698,126.0664,129.907,177.6947,158.6126,141.4486,202.9093,218.0769,221.3753,221.2601,242.4957,223.3386,281.4591,438.4554,574.3161,620.2958,61.4568,-330.2543,-324.1215,-182.5415,-127.1922
58,PLR120,anticipated_b,post,4th,1003,4810,19,0,2193.1617,75.3345,43.6185,48.3287,136.9086,223.749,249.3829,293.2591,278.1634,318.9326,310.0478,358.3671,406.449,489.0429,663.6536,892.7915,72.7126,-449.812,-398.2402,-259.1444,-165.5967
59,PLR120,anticipated_w,post,4th,1003,4810,20,0,2007.9084,70.4738,216.8351,305.4245,344.6596,282.2698,283.5782,381.7827,372.1652,379.2227,423.7094,426.7932,-498.8201,-879.6035,-896.7775,-907.1773,-789.6477,-505.0125,-321.9974,-167.0291,-6.4385
60,PLR120,anticipated_b,post,4th,1002,4810,20,0,2127.54,88.8788,135.1191,192.2331,175.511,205.7637,237.6799,326.3291,345.5699,335.159,347.33,353.4024,419.5485,604.7934,884.2641,877.6223,-216.4091,-716.3578,-661.6675,-419.1735,-293.3848
1,PLR121,anticipated_w,pre,1st,1000,4836,1,1,2206.526,-146.437,-37.0914,35.2698,176.5368,253.8353,259.3641,101.4531,125.4059,2.8771,59.6887,142.3169,-811.4632,-1096.2066,-1070.2459,-1119.5365,-984.9501,-569.4213,-279.1909,-39.5208,-12.3794
2,PLR121,anticipated_b,pre,1st,1002,4810,1,1,2374.146,-100.235,100.5032,132.2728,315.0372,349.0687,413.6393,575.1786,588.5242,471.943,379.7964,367.7964,567.1891,833.0058,1255.0111,1362.053,-54.5125,-609.3502,-643.8057,-615.4481,-479.9111
3,PLR121,anticipated_w,pre,1st,1002,4810,2,0,2431.782,-51.8029,-147.2061,-94.8396,58.2808,251.1971,299.417,134.8343,24.7045,41.3489,14.7625,-75.4312,-981.138,-1300.7558,-1358.4103,-1406.5883,-1195.4411,-793.5569,-534.1694,-390.2794,-228.1485
4,PLR121,anticipated_w,pre,1st,1002,4810,3,0,2310.022,105.6272,144.0251,274.6639,349.7934,392.0837,355.355,173.7424,144.5906,312.4492,211.6796,52.355,-883.7497,-1163.5665,-1194.4984,-1165.556,-909.2838,-535.2733,-269.6054,-53.7812,-3.8859
5,PLR121,anticipated_w,pre,1st,1003,4810,4,1,2290.95,-3.9343,51.7516,203.0919,190.2018,126.2437,9.3275,67.1599,137.1338,85.4113,151.3484,117.9243,-875.9552,-1153.8401,-1180.3995,-1159.7463,-906.6097,-499.3707,-210.8429,94.673,231.317
6,PLR121,unexpected_b,pre,1st,1003,4810,1,0,2380.388,99.0675,70.3502,89.3397,192.4523,307.291,326.9471,211.6748,273.2979,321.2665,409.0361,472.6172,501.879,718.7848,1017.8738,1186.0623,-220.6079,-772.854,-794.0006,-778.2885,-681.5468
7,PLR121,anticipated_w,pre,1st,1003,4812,5,0,2078.21,69.6801,129.1041,285.6068,265.2141,245.2664,371.6958,456.6225,354.256,510.0361,413.3083,228.9837,-644.7388,-892.9977,-894.3666,-832.3514,-696.3252,-259.8226,31.4183,274.3345,350.2036
8,PLR121,anticipated_w,pre,2nd,1003,4810,6,0,2506.212,90.3744,90.9084,135.9032,144.0603,152.6833,207.6885,110.1859,69.0707,-8.123,10.0445,-41.9188,-1077.9973,-1322.2742,-1320.2219,-1284.4476,-1067.8822,-642.5523,-433.2591,-255.034,-109.8298
9,PLR121,anticipated_b,pre,1st,1003,4810,2,1,2518.576,-49.9896,-89.3928,18.6596,84.3245,107.6544,158.801,184.8324,91.6177,138.8219,171.1675,81.6072,251.7277,580.3978,1072.1465,1163.0837,-234.7383,-707.5236,-536.0629,-383.9634,-309.1257
10,PLR121,anticipated_w,pre,2nd,1002,4808,7,0,2413.48,69.7713,162.9598,188.0017,108.1953,74.4659,170.2111,146.0854,178.1273,169.8813,211.4153,173.7975,-940.6999,-1243.8692,-1268.4655,-1240.0036,-1036.8779,-597.0821,-326.5271,-158.6004,-59.1502
11,PLR121,anticipated_b,pre,1st,1003,4810,3,1,2628.158,-84.2575,-76.2941,4.8839,81.0985,54.7478,145.6882,163.7301,59.219,-30.3988,88.8472,130.0095,178.0567,482.0671,896.8018,966.2763,-348.4826,-841.1318,-720.87,-615.4826,-587.1109
12,PLR121,anticipated_w,pre,2nd,1003,4812,8,0,2573.534,32.9896,64.2042,75.2932,141.0995,-42.3534,-84.7015,-175.7434,-199.0942,-15.89,49.1623,-102.4345,-1095.6492,-1363.1256,-1409.7801,-1443.2932,-1191.1727,-759.6282,-487.8377,-290.356,-235.0237
13,PLR121,anticipated_b,pre,1st,1002,4810,4,0,2578.508,25.403,-63.1782,-12.1677,119.204,57.0574,-175.1677,-259.2986,-39.8064,25.2721,97.0522,59.1465,142.5234,453.1547,806.3098,919.4082,-431.7907,-859.4923,-929.6075,-964.4923,-920.6441
14,PLR121,unexpected_w,pre,1st,1003,4812,2,0,2214.568,115.5734,89.8718,189.0498,141.7775,82.987,282.2749,295.3378,229.3063,126.8142,193.8561,55.1022,-900.8612,-1151.3115,-1155.9188,-1109.6989,-813.657,-356.4999,-74.5081,75.3446,149.076
15,PLR121,anticipated_w,pre,2nd,1002,4810,9,1,2669.27,-24.5161,-48.5946,10.7824,86.5782,106.5991,107.7928,186.6462,66.2797,23.7981,95.0023,23.6672,-1139.9925,-1412.9206,-1366.299,-1310.5318,-1119.8616,-656.7824,-240.2544,-15.4166,40.5049
16,PLR121,anticipated_w,pre,2nd,1002,4810,10,1,2908.264,86.6418,15.5266,92.5004,199.4637,269.8774,361.647,360.0658,369.9664,368.558,315.8355,181.8302,-1083.1383,-1464.5677,-1526.2692,-1495.463,-1170.0801,-721.9856,-359.6933,-222.1383,-128.6462
