trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window38,window418,window798,window1178,window1558,window1938,window2318,window2698,window3078,window3458,window3838,window4218,window4598,window4978,window5358,window5738,window6118,window6498,window6878,window7258
25,PLR127,unexpected_w,1,pre,1st,1003,4810,5,0,1794.933,1835.9938,1764.844,1592.9295,1758.0853,1983.573,2110.7486,2112.905,2093.027,2373.9375,2543.57,2353.193,1167.3048,954.0342,1048.6868,1137.4153,1340.9907,1539.9965,1842.119,1964.6942,1985.5628
26,PLR127,unexpected_b,0,pre,2nd,1002,4808,6,0,2019.5757,2150.6772,1892.7354,1943.3068,2108.4428,2241.5216,2372.5606,2526.7788,2499.2675,2575.4018,2629.2906,2636.5685,2586.3078,2873.7767,3260.9655,3355.95,1756.237,1312.2274,1352.6618,1641.3248,1932.4012
27,PLR127,anticipated_b,0,post,3rd,1002,4810,11,0,2250.7778,2267.8776,2243.6234,2219.658,2228.4494,1885.7489,1458.3226,1214.5073,1144.73,1214.6774,1537.1668,1701.1894,1889.7692,2155.5565,2333.5447,2413.0076,1323.8378,1121.2381,1307.0806,1509.2419,1620.0411
28,PLR127,unexpected_b,0,pre,2nd,1003,4812,7,0,2058.1512,2171.7091,1948.8833,1972.604,2220.1705,2296.9176,2157.3385,2016.9913,2194.1558,2190.3476,2447.5282,2559.4363,2703.3537,2929.301,3147.1214,3109.07,1683.6962,1216.267,1352.318,1449.7001,1659.9915
29,PLR127,anticipated_w,1,post,3rd,1003,4812,11,0,2166.8074,2105.9251,2227.8109,2238.1356,2298.7643,2326.0695,2371.8412,2394.4062,2532.9123,2435.3425,2663.7058,2506.7476,1235.4408,988.1055,1023.8161,1163.6254,1471.027,1836.2825,2025.9563,1938.2826,2021.5925
30,PLR127,anticipated_b,0,post,3rd,1002,4810,12,0,2410.0132,2432.9888,2390.9639,2375.2108,2244.022,1936.9346,2039.0797,2092.3551,2017.5728,2144.0577,2326.3421,2411.4552,2499.8876,2765.9136,3138.8498,3118.673,1613.7645,1340.8097,1372.212,1529.9407,1573.1907
31,PLR127,anticipated_b,0,post,3rd,1002,4808,13,0,2115.3678,2078.919,2146.1007,2324.7164,2554.6673,2200.9123,1870.6309,1999.6527,2036.8383,2236.8605,2417.4174,2565.9318,2732.7711,2852.8433,3071.6071,3033.6649,1789.5995,1415.9713,1535.0805,1763.5056,1874.4493
32,PLR127,unexpected_b,0,pre,2nd,1003,4812,8,0,2463.8009,2515.122,2432.8855,2138.1487,2246.0766,2284.8629,2367.2774,2441.6471,2579.5012,2540.9319,2482.4384,2557.4133,2504.1263,2781.2588,3079.5165,2584.315,1527.3322,1445.5833,1719.2982,1871.8286,1917.8376
33,PLR127,unexpected_b,0,pre,2nd,1002,4810,9,0,2149.6333,2366.5924,1939.6845,1851.5432,1987.7452,2166.9107,2348.3461,2259.0387,2316.7674,2533.722,2452.7002,2582.1266,2685.0615,2808.8256,3055.03,3051.263,1671.6233,1484.3522,1625.8668,1696.1861,1952.6611
34,PLR127,unexpected_w,1,pre,2nd,1003,4810,10,0,2461.2424,2554.4082,2388.6376,2165.6849,1943.8634,1940.4693,2131.1726,2336.5411,2484.0143,2485.5816,2270.209,1971.8191,1079.3588,922.1331,964.9496,944.1798,1127.5171,1421.7446,1488.4639,1677.301,1797.1301
